지역명,전략적_강도_엔트로피,행정적_강도_최종지수2,총_정책수,청년정책_예산_백만원,지자체_전체예산_백만원,정책_분야수,청년인구,재정자립도,A_청년정책예산비율,B_청년인구비율,집중도지수,전략적_강도_정규화,행정적_강도_정규화,종합점수,전략적강도_순위,행정적강도_순위,종합점수_순위
구로구,0.6909,0.005697,13,17.51,1033041.0,4,83813,0.221,1.695e-05,0.013424,0.001263,0.6969635831736104,0.0032466413658751745,0.3501051122697428,73.0,78.0,77.0
완주군,0.6743,0.034765,11,12.51,959848.6,4,14112,0.163,1.303e-05,0.00226,0.005766,0.680217895692525,0.01994102863338969,0.3500794621629573,76.0,42.0,78.0
창원시,0.6759,0.006483,34,64.62,3991354.9,4,49816,0.312,1.619e-05,0.007979,0.002029,0.6818319378593766,0.0036980583327207235,0.34276499809604866,74.0,75.0,79.0
통영시,0.6742,0.003887,10,1.02,873372.9,4,15207,0.123,1.17e-06,0.002436,0.000479,0.6801170180570968,0.0022071188340807174,0.3411620684455888,77.0,85.0,80.0
인천광역시 서구,0.6758,0.000275,14,14.65,10000000.0,4,103761,0.32,1.46e-06,0.016619,8.8e-05,0.6817310602239484,0.00013266834521796664,0.34093186428458316,75.0,136.0,81.0
인천광역시 연수구,0.6707,0.000276,11,10.18,10000000.0,4,74613,0.309,1.02e-06,0.01195,8.5e-05,0.6765863008171088,0.00013324266705873705,0.33835977174208376,78.0,135.0,82.0
함양군,0.5761,0.140358,5,5.7,671812.1,3,3551,0.099,8.48e-06,0.000569,0.014918,0.5811560577020074,0.08058539476586048,0.33087072623393393,89.0,21.0,83.0
의령군,0.6,0.09597,6,1.81,593751.1,3,2454,0.077,3.05e-06,0.000393,0.007756,0.6052658125693534,0.05509239689774314,0.3301791047335483,80.0,27.0,84.0
성북구,0.6204,0.003318,12,12.31,1138797.7,4,98104,0.207,1.081e-05,0.015713,0.000688,0.6258448501967113,0.0018803297066823494,0.31386258995169686,79.0,91.0,85.0
전라남도 장흥군,0.5964,0.027475,11,12.2,10000000.0,4,3646,0.075,1.22e-06,0.000584,0.002089,0.6016342176939373,0.015754222414173343,0.30869422005405533,83.0,50.0,86.0
사천시,0.591,0.028134,8,9.08,961045.7,3,14160,0.146,9.45e-06,0.002268,0.004166,0.596186825380813,0.01613270050724105,0.306159762944027,84.0,49.0,87.0
동래구,0.6,0.000283,3,0.25,536886.1,3,46140,0.223,4.7e-07,0.00739,6.3e-05,0.6052658125693534,0.00013726291994412996,0.30270153774464875,80.0,134.0,88.0
울산광역시 동구,0.6,0.000122,3,0.96,10000000.0,3,25518,0.192,1e-07,0.004087,2.3e-05,0.6052658125693534,4.479710358009262e-05,0.30265530483646674,80.0,145.0,89.0
강북구,0.5893,0.00591,7,11.84,1207452.4,3,60049,0.172,9.81e-06,0.009618,0.00102,0.5944719055785334,0.003368971917959274,0.2989204387482463,87.0,77.0,90.0
동작구,0.591,0.001053,8,4.32,957899.2,3,97531,0.274,4.51e-06,0.015621,0.000289,0.596186825380813,0.000579490737337352,0.29838315805907517,84.0,114.0,91.0
대전광역시 유성구,0.591,0.000128,8,3.75,7540100.2,3,84640,0.287,5e-07,0.013556,3.7e-05,0.596186825380813,4.824303462471513e-05,0.29811753420771886,84.0,144.0,92.0
광주광역시 남구,0.5885,0.000324,12,2.81,10000000.0,3,38716,0.14,2.8e-07,0.006201,4.5e-05,0.5936648844951075,0.00016081011541571713,0.2969128473052616,88.0,131.0,93.0
연제구,0.5678,0.004142,4,2.35,496807.5,3,38046,0.187,4.73e-06,0.006094,0.000776,0.5727832139614647,0.0023535709034771743,0.28756839243247095,91.0,83.0,94.0
금정구,0.5678,0.003434,4,2.74,606780.0,3,47935,0.171,4.52e-06,0.007678,0.000588,0.5727832139614647,0.0019469510402117178,0.2873650825008382,91.0,89.0,95.0
종로구,0.5678,0.002736,4,5.29,794024.7,3,32508,0.467,6.66e-06,0.005207,0.00128,0.5727832139614647,0.0015460743953539659,0.2871646441784093,91.0,99.0,96.0
전라남도 완도군,0.5678,0.002051,4,0.95,10000000.0,3,4660,0.062,9e-08,0.000746,0.000127,0.5727832139614647,0.0011526639344262293,0.2869679389479455,91.0,105.0,97.0
수성구,0.5678,0.001225,8,3.6,907483.5,3,70636,0.286,3.97e-06,0.011313,0.000351,0.5727832139614647,0.0006782740939498639,0.28673074402770726,91.0,112.0,98.0
함안군,0.519,0.086055,5,12.95,819813.3,3,7268,0.151,1.58e-05,0.001164,0.01357,0.5235549278724907,0.04939799584650445,0.2864764618594976,107.0,30.0,99.0
양산시,0.565,0.003678,14,15.24,1744707.5,3,58738,0.252,8.73e-06,0.009408,0.000928,0.5699586401694744,0.0020870855693597,0.286022862869417,96.0,88.0,100.0
북구,0.5623,0.000491,10,1.82,1138797.7,3,98104,0.207,1.6e-06,0.015713,0.000102,0.5672349440129124,0.00025672186282437695,0.28374583293786837,97.0,125.0,101.0
인천광역시 동구,0.5434,0.022101,11,43.77,10000000.0,3,9407,0.13,4.38e-06,0.001507,0.002905,0.5481690709169778,0.012667816841873117,0.28041844387942544,100.0,51.0,102.0
전라남도 영광군,0.5485,0.011563,7,13.53,10000000.0,3,6208,0.117,1.35e-06,0.000994,0.001361,0.5533138303238172,0.0066156132838344475,0.2799647218038258,98.0,63.0,103.0
합천군,0.4635,0.151918,9,6.7,875197.7,3,3598,0.081,7.66e-06,0.000576,0.013289,0.4675678402098255,0.08722455524516651,0.277396197727496,118.0,19.0,104.0
부산진구,0.5485,0.001659,7,3.4,804384.3,3,74612,0.213,4.23e-06,0.01195,0.000354,0.5533138303238172,0.0009275297728442255,0.27712068004833074,98.0,109.0,105.0
전라남도 강진군,0.5408,0.010699,13,4.52,10000000.0,4,3452,0.076,4.5e-07,0.000553,0.000818,0.5455462523958438,0.0061193992134088064,0.27583282580462626,101.0,64.0,106.0
문경시,0.519,0.032562,5,3.43,1058355.0,3,7278,0.084,3.24e-06,0.001166,0.00278,0.5235549278724907,0.01867579761817246,0.2711153627453316,107.0,45.0,107.0
창녕군,0.4738,0.107792,6,11.58,751223.2,3,6455,0.131,1.541e-05,0.001034,0.01491,0.4779582366589327,0.06188202969933103,0.2699201331791319,117.0,25.0,108.0
도봉구,0.5241,0.010166,12,17.48,874719.7,3,61053,0.2,1.998e-05,0.009779,0.002044,0.5286996872793303,0.005813285672278173,0.2672564864758042,104.0,66.0,109.0
중랑구,0.527,0.000602,9,1.92,1114388.2,3,82754,0.216,1.72e-06,0.013254,0.00013,0.5316251387067488,0.0003204715871498934,0.2659728051469493,103.0,124.0,110.0
대전광역시 동구,0.5219,0.000861,7,5.64,7540100.2,3,48881,0.111,7.5e-07,0.007829,9.6e-05,0.5264803792999093,0.00046922094390943175,0.2634748001219094,105.0,118.0,111.0
울산광역시 북구,0.5219,0.000217,7,3.4,10000000.0,3,39849,0.245,3.4e-07,0.006382,5.3e-05,0.5264803792999093,9.935767845328234e-05,0.2632898684891813,105.0,141.0,112.0
밀양시,0.5105,0.018991,11,6.71,1225571.3,3,12047,0.148,5.47e-06,0.00193,0.002838,0.5149803288610915,0.010881675917077116,0.2629310023890843,113.0,55.0,113.0
경주시,0.519,0.002448,5,5.73,2101324.2,3,39021,0.178,2.73e-06,0.00625,0.000436,0.5235549278724907,0.0013806697052120855,0.2624677987888514,107.0,102.0,114.0
